size_sqft,bedrooms,age_years,distance_km,has_garage,price_usd
1460,5,27,4.74,0,216000
1894,1,49,10.72,1,107000
1730,4,20,22.56,0,147000
1695,1,48,5.66,1,192000
2238,1,6,24.72,0,98000
2769,5,16,25.13,0,334000
1066,4,19,15.72,1,161000
1838,4,40,1.19,1,289000
930,4,48,9.32,0,108000
2082,3,19,18.89,1,200000
2735,5,21,29.45,1,274000
730,4,27,19.32,1,50000
2285,3,39,8.53,0,342000
1369,2,48,19.39,0,50000
2991,2,6,16.66,1,375000
2115,3,0,23.62,1,193000
1815,3,31,4.1,1,334000
1555,5,12,23.07,0,187000
2924,5,29,16.7,0,410000
1784,2,22,28.93,1,97000
1059,4,18,10.91,1,131000
621,2,31,19.35,1,50000
2900,4,29,28.03,1,272000
1347,4,28,3.97,1,273000
1074,5,48,28.18,1,50000
1682,1,44,20.95,0,50000
2647,1,28,2.97,1,405000
1575,3,29,9.73,0,195000
2406,5,15,21.54,1,208000
789,4,39,2.95,1,165000
1162,1,18,17.88,0,50000
2499,4,17,11.03,0,315000
1867,1,0,19.01,0,123000
2128,1,13,2.33,0,297000
1246,1,46,26.27,1,50000
2668,5,49,29.23,0,152000
2814,2,1,29.1,1,258000
1897,4,27,22.74,0,159000
1200,5,48,4.77,1,251000
2963,5,49,22.99,1,280000
2661,5,29,1.71,1,456000
841,5,37,1.64,1,190000
2641,5,3,10.38,1,468000
1963,3,0,15.17,1,249000
2739,4,7,23.34,0,330000
1990,5,28,20.82,1,157000
2078,4,38,13.93,0,186000
1375,3,2,8.94,0,202000
634,3,31,29.92,1,50000
2853,4,9,13.36,0,352000
2555,1,9,14.09,1,286000
2185,2,18,5.75,0,318000
1621,1,45,24.05,1,50000
1729,1,33,21.12,0,66000
2100,1,32,7.4,1,284000
1302,5,22,3.39,1,254000
2179,3,27,20.73,1,194000
761,1,31,19.98,1,50000
801,3,49,8.92,0,50000
2581,4,6,28.58,1,296000
1595,2,28,5.38,0,161000
2917,4,7,13.54,0,397000
1415,4,0,28.36,0,72000
1055,5,2,13.17,1,164000
1875,2,23,19.52,0,50000
1616,4,22,12.53,0,184000
2943,4,7,8.95,0,466000
937,2,46,29.54,1,50000
1478,2,36,12.87,1,140000
1676,4,2,26.93,0,80000
1391,2,32,7.67,1,176000
2864,4,27,7.18,1,419000
1363,4,46,1.9,0,211000
2835,5,7,19.9,0,359000
979,1,33,11.69,1,50000
1092,4,34,26.07,0,50000
1780,3,31,14.72,1,198000
2662,1,23,29.08,1,171000
664,1,13,6.38,1,50000
1967,1,31,26.19,1,56000
1752,5,45,23.52,1,123000
2627,4,42,23.36,1,296000
2095,5,15,25.5,0,172000
1762,4,3,23.07,0,155000
2122,5,36,19.16,1,239000
991,5,20,4.81,1,171000
2298,3,13,1.94,1,342000
1018,5,30,27.7,0,50000
2936,2,47,18.88,1,291000
978,3,17,24.1,0,50000
2396,5,6,14.96,1,377000
2878,1,9,4.4,1,431000
2688,2,6,4.63,0,394000
2782,2,32,20.88,0,224000
800,2,22,13.48,1,71000
2463,3,20,6.82,1,342000
1379,5,18,15.26,1,149000
1102,5,47,2.86,0,189000
2351,1,18,17.88,0,163000
1404,1,35,8.8,0,180000
2746,2,28,24.13,0,219000
2495,1,17,10.0,0,299000
2170,3,1,14.2,0,246000
1560,5,0,1.34,1,339000
2085,2,46,3.1,1,271000
1628,1,4,12.38,0,143000
1102,3,19,14.92,1,121000
997,3,10,18.4,1,59000
1470,1,41,9.46,0,134000
992,5,1,21.15,1,183000
806,1,2,25.94,0,50000
1638,2,22,23.62,0,68000
2481,1,11,2.15,1,395000
2084,3,19,14.93,0,279000
1463,1,4,4.04,0,199000
1163,5,36,8.02,0,131000
1620,4,37,29.61,0,50000
695,1,29,5.13,0,50000
2523,5,8,15.47,0,329000
2357,5,33,18.93,0,313000
2878,3,43,21.37,0,309000
2278,5,34,17.23,1,247000
1140,5,21,1.28,1,233000
1659,5,43,10.47,1,228000
1783,5,23,16.01,0,247000
